Customer ID,Segment,Signup Date
C189,Enterprise,2024-08-19
C373,SMB,2024-03-03
C294,SMB,2024-01-01
C22,Enterprise,2025-05-05
C188,SMB,2024-12-30
C364,SMB,2024-04-30
C89,Enterprise,2024-03-20
C340,Enterprise,2025-03-20
C50,Enterprise,2024-09-02
C310,SMB,2024-04-10
C270,SMB,2024-02-14
C190,SMB,2024-05-21
C280,SMB,2024-04-06
C327,Enterprise,2024-04-26
C81,SMB,2024-02-25
C231,SMB,2025-04-25
C62,Enterprise,2024-07-01
C227,Enterprise,2024-11-27
C398,SMB,2024-08-23
C179,Enterprise,2024-07-12
C187,SMB,2024-12-18
C134,SMB,2024-08-19
C348,Enterprise,2025-01-25
C121,SMB,2024-10-31
C137,SMB,2025-01-22
C160,Enterprise,2025-02-26
C268,SMB,2024-02-25
C2,SMB,2025-04-23
C385,SMB,2025-01-23
C247,SMB,2024-08-07
C144,Enterprise,2024-04-14
C259,Enterprise,2024-10-13
C128,SMB,2024-10-09
C151,SMB,2024-10-29
C60,SMB,2024-02-25
C37,SMB,2024-02-11
C54,SMB,2024-11-06
C254,Enterprise,2025-05-14
C384,SMB,2024-10-09
C161,SMB,2024-04-01
C371,SMB,2024-08-05
C264,SMB,2025-03-23
C317,SMB,2025-03-26
C172,SMB,2024-05-29
C349,SMB,2024-08-24
C253,SMB,2025-04-13
C223,SMB,2024-07-21
C127,SMB,2025-05-12
C176,Enterprise,2024-12-19
C13,SMB,2024-02-07
C142,Enterprise,2024-10-27
C342,SMB,2024-06-26
C314,SMB,2024-07-29
C101,SMB,2024-10-28
C262,SMB,2024-12-03
C106,Enterprise,2024-11-07
C346,Enterprise,2025-05-09
C129,SMB,2024-09-30
C69,SMB,2024-08-14
C185,SMB,2025-04-01
C204,SMB,2025-01-09
C289,SMB,2024-03-18
C290,Enterprise,2024-03-03
C4,SMB,2024-02-17
C396,SMB,2024-03-10
C285,Enterprise,2025-02-10
C242,SMB,2024-02-10
C90,SMB,2024-11-03
C75,SMB,2025-04-11
C357,SMB,2024-03-06
C96,SMB,2025-03-05
C355,Enterprise,2025-03-13
C76,SMB,2024-02-02
C53,Enterprise,2024-06-29
C239,Enterprise,2025-01-06
C7,SMB,2024-07-18
C122,Enterprise,2025-01-23
C365,SMB,2024-01-30
C292,SMB,2024-03-17
C167,SMB,2024-12-22
C369,Enterprise,2024-01-01
C229,SMB,2024-08-17
C233,SMB,2024-01-03
C374,SMB,2024-10-30
C224,SMB,2024-12-07
C192,SMB,2024-10-05
C397,SMB,2024-11-25
C197,SMB,2025-04-23
C5,SMB,2024-12-08
C341,SMB,2024-04-29
C311,SMB,2025-03-13
C23,SMB,2024-12-09
C85,Enterprise,2025-03-03
C162,SMB,2024-02-22
C251,SMB,2024-09-23
C252,SMB,2024-05-16
C308,SMB,2024-11-27
C235,Enterprise,2024-04-29
