Order Date,Customer ID,Region,Product,Revenue,Units Sold
2025-04-13,C189,Americas,Product C,3793.97,7
2025-05-02,C373,APAC,Product C,2566.62,4
2025-06-01,C294,EMEA,Product A,4864.59,2
2025-07-11,C22,Americas,Product A,1869.09,12
2025-02-18,C188,EMEA,Product C,1127.72,16
2025-09-28,C364,EMEA,Product C,3282.74,3
2025-05-15,C89,APAC,Product C,559.69,14
2025-08-30,C340,EMEA,Product B,939.52,15
2025-09-21,C50,APAC,Product B,1355.86,8
2025-01-02,C310,EMEA,Product B,2960.2,18
2025-08-06,C270,EMEA,Product B,4526.72,16
2025-09-28,C190,APAC,Product C,2843.75,8
2025-08-01,C280,EMEA,Product B,2928.61,13
2025-02-10,C327,APAC,Product A,835.48,9
2025-05-09,C81,APAC,Product C,4169.58,8
2025-06-12,C231,Americas,Product C,833.2,9
2025-01-28,C62,Americas,Product B,929.35,5
2025-04-09,C227,EMEA,Product B,4492.46,5
2025-05-11,C398,Americas,Product B,1561.93,7
2025-07-26,C179,EMEA,Product B,2477.01,7
2025-08-29,C231,APAC,Product B,676.19,13
2025-05-23,C187,Americas,Product A,846.41,19
2025-03-27,C134,Americas,Product B,4136.54,12
2025-02-13,C348,EMEA,Product B,2927.04,7
2025-07-09,C121,APAC,Product A,3414.61,13
2025-08-21,C137,APAC,Product B,1679.02,5
2025-08-13,C160,APAC,Product C,1257.31,9
2025-06-29,C268,EMEA,Product A,1642.62,7
2025-04-23,C2,APAC,Product A,1700.51,2
2025-08-08,C385,APAC,Product A,2052.82,19
2025-05-06,C247,APAC,Product B,4935.43,4
2025-07-22,C280,EMEA,Product A,3776.97,5
2025-04-08,C144,EMEA,Product C,4173.94,1
2025-07-20,C259,APAC,Product B,2178.69,4
2025-05-27,C128,APAC,Product C,1284.65,7
2025-05-09,C151,EMEA,Product A,1010.63,10
2025-04-09,C60,APAC,Product B,4919.76,17
2025-01-02,C37,Americas,Product B,4537.47,9
2025-08-21,C54,APAC,Product C,4353.46,1
2025-04-26,C254,APAC,Product B,3510.45,3
2025-04-22,C384,APAC,Product C,4881.49,14
2025-07-13,C161,EMEA,Product A,1509.21,4
2025-05-15,C371,Americas,Product A,2941.43,14
2025-06-07,C264,Americas,Product A,2690.34,2
2025-04-07,C317,EMEA,Product A,1378.59,16
2025-05-27,C172,EMEA,Product A,696.22,14
2025-01-06,C349,EMEA,Product A,4788.82,17
2025-06-30,C253,EMEA,Product A,839.06,1
2025-09-13,C223,EMEA,Product B,3005.61,3
2025-06-23,C127,APAC,Product C,4955.24,10
2025-09-30,C176,Americas,Product A,3661.18,7
2025-06-19,C13,Americas,Product C,1652.93,7
2025-02-05,C142,Americas,Product A,819.23,12
2025-05-23,C342,EMEA,Product B,2473.13,19
2025-06-02,C314,APAC,Product B,1789.44,17
2025-06-29,C101,APAC,Product C,2120.86,1
2025-09-21,C262,Americas,Product A,2557.69,13
2025-02-16,C106,EMEA,Product A,4862.92,19
2025-05-25,C346,EMEA,Product C,2475.37,5
2025-04-27,C129,APAC,Product C,3631.88,1
2025-08-27,C89,APAC,Product B,553.46,8
2025-08-25,C69,APAC,Product A,3820.54,3
2025-03-17,C185,EMEA,Product C,3910.31,14
2025-08-08,C204,APAC,Product A,1901.36,16
2025-08-06,C289,Americas,Product A,2630.62,5
2025-01-23,C290,APAC,Product B,3357.92,10
2025-09-07,C4,Americas,Product A,2927.2,16
2025-09-04,C396,Americas,Product C,4104.27,18
2025-06-12,C101,EMEA,Product A,4150.42,12
2025-03-06,C285,Americas,Product B,1430.08,13
2025-01-12,C242,APAC,Product B,675.33,3
2025-08-03,C90,APAC,Product A,4301.94,2
2025-04-25,C75,APAC,Product B,3635.32,4
2025-08-05,C357,Americas,Product A,2965.87,9
2025-07-11,C96,EMEA,Product C,2356.78,5
2025-09-25,C355,EMEA,Product A,3829.59,9
2025-09-30,C187,EMEA,Product A,1940.22,19
2025-06-26,C76,APAC,Product A,4574.22,9
2025-07-25,C144,EMEA,Product C,2718.62,5
2025-04-09,C53,EMEA,Product C,1457.28,16
2025-02-26,C398,APAC,Product A,2724.89,5
2025-06-12,C239,Americas,Product C,3676.24,12
2025-01-09,C7,Americas,Product A,955.05,14
2025-05-21,C122,APAC,Product A,4198.37,2
2025-01-05,C365,EMEA,Product B,4939.88,1
2025-05-25,C292,Americas,Product A,3163.5,6
2025-09-09,C167,APAC,Product A,2200.94,10
2025-01-19,C242,APAC,Product C,1641.57,8
2025-01-01,C369,EMEA,Product B,2301.0,1
2025-04-27,C317,Americas,Product A,4864.45,15
2025-05-29,C229,APAC,Product A,4968.34,4
2025-08-15,C233,EMEA,Product A,2853.94,17
2025-01-14,C374,APAC,Product A,3324.01,3
2025-05-24,C224,Americas,Product C,1764.33,16
2025-06-05,C90,APAC,Product B,1346.55,8
2025-07-05,C192,APAC,Product A,4884.78,17
2025-07-20,C397,APAC,Product A,3581.29,14
2025-02-04,C197,Americas,Product B,2374.88,15
2025-01-10,C5,Americas,Product B,2982.15,1
2025-03-06,C341,EMEA,Product C,1176.88,17
2025-04-08,C311,APAC,Product C,1730.33,6
2025-07-16,C23,Americas,Product B,4609.25,5
2025-02-22,C85,Americas,Product B,2200.33,14
2025-01-01,C369,Americas,Product A,1432.52,8
2025-02-03,C162,EMEA,Product C,3522.08,3
2025-09-25,C251,Americas,Product A,897.84,17
2025-04-22,C341,EMEA,Product C,3898.12,14
2025-03-07,C252,Americas,Product C,1113.67,2
2025-04-08,C308,EMEA,Product C,2468.64,6
2025-01-30,C285,EMEA,Product C,3639.39,4
2025-05-18,C340,Americas,Product B,3960.13,5
2025-02-03,C235,EMEA,Product B,1979.38,11
2025-08-28,C183,APAC,Product C,1079.96,16
2025-04-05,C195,EMEA,Product A,4535.55,18
2025-03-02,C92,APAC,Product C,4198.06,10
2025-01-22,C12,APAC,Product A,2904.91,14
2025-02-03,C73,APAC,Product B,3606.78,15
2025-05-01,C48,EMEA,Product B,1206.4,17
2025-01-26,C180,Americas,Product A,3187.75,15
2025-05-07,C78,Americas,Product B,3282.15,2
2025-06-03,C111,APAC,Product C,3710.07,14
2025-08-27,C227,APAC,Product B,1508.01,19
2025-01-15,C202,APAC,Product C,2197.78,7
2025-09-30,C25,APAC,Product B,1745.41,17
2025-01-13,C109,EMEA,Product B,4051.27,18
2025-04-21,C264,EMEA,Product B,3140.79,8
2025-08-24,C180,APAC,Product A,2018.51,2
2025-08-17,C198,Americas,Product A,958.02,6
2025-04-22,C350,APAC,Product C,895.49,9
2025-09-04,C36,APAC,Product C,2346.79,6
2025-08-08,C369,Americas,Product C,4176.82,6
2025-03-03,C26,Americas,Product C,2907.67,19
2025-06-22,C324,Americas,Product B,4855.97,19
2025-07-31,C1,EMEA,Product A,2884.28,14
2025-02-07,C333,EMEA,Product C,4694.06,11
2025-09-16,C261,APAC,Product B,1526.52,10
2025-06-21,C319,APAC,Product B,895.41,5
2025-09-30,C94,APAC,Product C,2622.09,17
2025-03-10,C376,Americas,Product B,1059.34,11
2025-05-17,C296,APAC,Product C,799.23,8
2025-09-24,C291,Americas,Product B,4097.92,5
2025-01-05,C132,APAC,Product B,2853.79,13
2025-02-11,C288,EMEA,Product C,3712.02,19
2025-05-05,C153,APAC,Product C,2474.35,17
2025-08-13,C104,EMEA,Product B,2945.99,8
2025-02-08,C179,APAC,Product B,1997.67,8
2025-02-11,C289,APAC,Product C,4453.83,7
2025-06-06,C289,APAC,Product A,3681.41,4
2025-03-27,C353,Americas,Product A,4445.45,6
2025-06-08,C184,EMEA,Product A,1073.7,15
2025-06-06,C332,EMEA,Product A,1531.63,13
2025-05-10,C292,APAC,Product C,3622.77,11
2025-03-10,C38,Americas,Product B,4588.03,6
2025-07-19,C396,EMEA,Product B,4762.78,13
