Order Date,Customer ID,Region,Product,Revenue,Units Sold
2025-01-01,C231,EMEA,Product C,3233.43,6
2025-01-01,C364,APAC,Product A,1077.18,8
2025-01-01,C371,APAC,Product B,2043.3,6
2025-01-01,C176,Americas,Product C,1349.77,11
2025-01-01,C313,Americas,Product B,2072.44,11
2025-01-01,C67,APAC,Product B,4354.06,2
2025-01-01,C35,APAC,Product B,1880.61,2
2025-01-01,C97,Americas,Product C,3400.58,6
2025-01-01,C226,EMEA,Product A,3140.57,6
2025-01-01,C252,EMEA,Product A,3008.69,8
2025-01-01,C196,EMEA,Product A,418.78,8
2025-01-01,C223,Americas,Product A,708.61,14
2025-01-02,C310,Americas,Product B,3560.58,8
2025-01-02,C351,APAC,Product B,1064.06,11
2025-01-02,C353,Americas,Product B,2831.06,3
2025-01-02,C236,APAC,Product A,1323.46,5
2025-01-02,C168,APAC,Product C,4498.97,1
2025-01-02,C258,EMEA,Product B,435.56,3
2025-01-02,C151,EMEA,Product C,3768.79,14
2025-01-02,C56,EMEA,Product C,3273.82,3
2025-01-02,C333,APAC,Product B,2361.67,5
2025-01-02,C297,APAC,Product B,4128.96,10
2025-01-02,C379,Americas,Product C,404.1,4
2025-01-02,C116,Americas,Product B,1555.92,12
2025-01-02,C200,EMEA,Product B,3268.31,9
2025-01-02,C299,EMEA,Product A,1055.73,10
2025-01-02,C22,APAC,Product C,3585.88,11
2025-01-02,C19,EMEA,Product C,2600.06,11
2025-01-03,C71,EMEA,Product A,2110.68,12
2025-01-03,C162,EMEA,Product A,1412.96,7
2025-01-03,C159,EMEA,Product A,1461.84,3
2025-01-03,C332,EMEA,Product B,3225.5,1
2025-01-03,C155,APAC,Product C,1272.08,1
2025-01-03,C344,Americas,Product C,3209.51,3
2025-01-03,C43,APAC,Product C,3447.03,14
2025-01-03,C316,Americas,Product C,3081.87,12
2025-01-03,C280,APAC,Product B,2340.18,7
2025-01-03,C280,Americas,Product B,2683.23,11
2025-01-03,C147,EMEA,Product C,590.04,14
2025-01-03,C181,APAC,Product A,2142.2,10
2025-01-03,C54,EMEA,Product B,1920.42,14
2025-01-03,C96,Americas,Product A,2579.81,8
2025-01-04,C314,Americas,Product B,3872.09,6
2025-01-04,C309,APAC,Product B,753.59,9
2025-01-04,C104,APAC,Product B,3869.18,1
2025-01-04,C139,Americas,Product C,1023.83,3
2025-01-04,C187,APAC,Product B,3960.89,14
2025-01-04,C86,Americas,Product B,1201.79,10
2025-01-04,C28,Americas,Product A,2180.23,11
2025-01-04,C394,Americas,Product B,3987.68,8
2025-01-04,C201,APAC,Product C,3925.73,12
2025-01-04,C202,EMEA,Product B,3268.5,11
2025-01-04,C216,APAC,Product B,3620.74,2
2025-01-04,C176,Americas,Product C,3404.09,2
2025-01-04,C15,APAC,Product B,3011.05,9
2025-01-04,C354,APAC,Product A,2516.53,4
2025-01-04,C174,Americas,Product B,3252.08,7
2025-01-04,C349,EMEA,Product A,1467.4,13
2025-01-04,C238,EMEA,Product C,4427.69,3
2025-01-04,C242,EMEA,Product A,3665.26,2
2025-01-04,C250,EMEA,Product C,3041.37,7
2025-01-04,C40,Americas,Product A,2387.22,2
2025-01-04,C292,EMEA,Product B,3866.83,12
2025-01-05,C159,EMEA,Product A,1773.34,5
2025-01-05,C261,APAC,Product B,3257.8,10
2025-01-05,C165,APAC,Product A,1257.91,11
2025-01-05,C17,Americas,Product B,4049.81,4
2025-01-05,C61,APAC,Product C,469.51,13
2025-01-05,C400,Americas,Product B,3655.51,2
2025-01-05,C29,APAC,Product C,1812.04,14
2025-01-05,C34,Americas,Product A,2675.71,14
2025-01-05,C189,EMEA,Product A,601.79,4
2025-01-05,C37,Americas,Product A,1218.43,6
2025-01-05,C37,Americas,Product A,4139.94,5
2025-01-05,C348,Americas,Product B,2087.24,11
2025-01-05,C309,EMEA,Product B,3817.48,13
2025-01-05,C315,APAC,Product A,2087.29,7
2025-01-05,C296,APAC,Product C,2649.01,8
2025-01-06,C212,APAC,Product B,3641.2,13
2025-01-06,C15,Americas,Product B,1084.36,11
2025-01-06,C164,EMEA,Product C,2975.22,7
2025-01-06,C163,Americas,Product C,4495.61,13
2025-01-06,C62,EMEA,Product C,4417.01,6
2025-01-06,C118,APAC,Product B,2000.31,7
2025-01-06,C309,EMEA,Product A,2922.49,3
2025-01-06,C75,APAC,Product A,3765.13,2
2025-01-06,C305,EMEA,Product A,3608.55,5
2025-01-06,C309,EMEA,Product C,529.64,13
2025-01-06,C158,APAC,Product B,3191.71,2
2025-01-06,C270,APAC,Product B,2858.43,3
2025-01-06,C268,APAC,Product C,3201.67,8
2025-01-06,C336,APAC,Product A,3971.5,4
2025-01-07,C13,EMEA,Product A,4023.04,12
2025-01-07,C390,APAC,Product C,1694.0,7
2025-01-07,C285,Americas,Product B,2153.68,13
2025-01-07,C35,APAC,Product A,1229.72,1
2025-01-07,C215,EMEA,Product C,1925.07,1
2025-01-07,C177,Americas,Product A,2074.11,3
2025-01-07,C241,EMEA,Product C,1624.47,11
2025-01-07,C168,APAC,Product C,3828.57,13
2025-01-07,C43,Americas,Product B,4314.51,4
2025-01-07,C53,EMEA,Product C,2477.91,4
2025-01-07,C312,EMEA,Product C,3411.33,12
2025-01-07,C59,Americas,Product C,4024.04,2
2025-01-07,C339,Americas,Product C,1580.14,2
2025-01-07,C237,APAC,Product A,1872.45,6
2025-01-07,C64,EMEA,Product C,2093.25,3
2025-01-07,C4,EMEA,Product C,4472.35,5
